key,code,instantiation-moment,heading,description,department,email-address,link
claim-01,"C-0001",2021/07/30 00:00,"r","iu","iu",pabcabmar3@alum.us.es,https://www.google.com
claim-02,"C-0002",2021/07/30 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-03,"C-0003",2021/07/30 00:00,"rtSnxYMVvDrzWPwZgZJkLKAJrtSGzNgJ","iu","iu",sanferrom@alum.us.es,https://www.instagram.com
claim-04,"C-0004",2021/07/30 00:00,"rtSnxYMVvDrzWPwZgZJkLKAJrtSGzNgJPAYdiaYUudWTbNMnemwnKdWRgZLDGQEhydqStTDML","iu","iu",alvvazcon@alum.us.es,https://www.informatica.us.es/
claim-05,"C-0005",2021/07/30 00:00,"rtSnxYMVvDrzWPwZgZJkLKAJrtSGzNgJPAYdiaYUudWTbNMnemwnKdWRgZLDGQEhydqStTDMLvY","iu","iu",alvvazcon@alum.us.es,https://www.informatica.us.es/
claim-06,"C-0006",2021/07/30 00:00,"rt","i","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-07,"C-0007",2021/07/30 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-08,"C-0008",2021/07/30 00:00,"rt","dTeCMTuSAeZMJraxupxvkNGbTMHDaCtMChzDSGTPGzeTVSFFhwubeGdRSx","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-09,"C-0009",2021/07/30 00:00,"rt","iuXSDxbZLrkzwKcmFNtZMeHidPWiPKEACLPpEDuSRPdTeCMTuSAeZMJraxupxvkNGbTMHDaCtMChzDSGTPGzeTVSFFhwubeGdR","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-10,"C-0010",2021/07/30 00:00,"rt","iuXSDxbZLrkzwKcmFNtZMeHidPWiPKEACLPpEDuSRPdTeCMTuSAeZMJraxupxvkNGbTMHDaCtMChzDSGTPGzeTVSFFhwubeGdRSx","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-11,"C-0011",2021/07/30 00:00,"rt","iu","i",alfalolan@alum.us.es,https://www.youtube.com
claim-12,"C-0012",2021/07/30 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-13,"C-0013",2021/07/30 00:00,"rt","iu","iuXSDxbZLrkzwKcmFNtZMeHidPWiPKEACLPpEDuSRPdTeCMTuSAeZMJ",alfalolan@alum.us.es,https://www.youtube.com
claim-14,"C-0014",2021/07/30 00:00,"rt","iu","iuXSDxbZLrkzwKcmFNtZMeHidPWiPKEACLPpEDuSRPdTeCMTuSAeZMJraxupxvkNGbTMHDaCtMChzDSGTPGzeTVSFFhwubeGdR",alfalolan@alum.us.es,https://www.youtube.com
claim-15,"C-0015",2021/07/30 00:00,"rt","iu","iuXSDxbZLrkzwKcmFNtZMeHidPWiPKEACLPpEDuSRPdTeCMTuSAeZMJraxupxvkNGbTMHDaCtMChzDSGTPGzeTVSFFhwubeGdRSx",alfalolan@alum.us.es,https://www.youtube.com
claim-16,"C-0016",1970/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-17,"C-0017",1970/01/02 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-18,"C-0018",1999/08/28 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-19,"C-0019",2021/07/29 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-20,"C-0020",2021/07/30 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-21,"C-0021",2021/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-22,"C-0022",2021/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-23,"C-0023",2021/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-24,"C-0024",2021/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
claim-25,"C-0025",2021/01/01 00:00,"rt","iu","iu",alfalolan@alum.us.es,https://www.youtube.com
