key,key:userAccount,identification,company-name,type,email,link
client-01,user-account-client-01,CLI-0001,Acme Company,INDIVIDUAL,mcjohn@mcjohn.com,https://www.mcjohn.com/
client-02,user-account-client-02,CLI-0002,A,INDIVIDUAL,juanillo@individual.es,https://www.juanillo.com/
client-03,user-account-client-03,CLI-0003,Ac,INDIVIDUAL,HOLA@individual.es,null
client-04,user-account-client-04,CLI-0004,abcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwy,INDIVIDUAL,ADIOS@individual.es,null
client-05,user-account-client-05,CLI-0005,abcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwyz,INDIVIDUAL,prueba@individual.es,null
client-06,user-account-client-06,CLI-0006,サンプル,INDIVIDUAL,prueba@individual.es,null
client-07,user-account-client-07,CLI-0007,требовать,COMPANY,prueba@individual.es,null
client-08,user-account-client-08,CLI-0008,<script>console.log('javascript')</script>,COMPANY,prueba@individual.es,null
client-09,user-account-client-09,CLI-0009, or 'A'='A,COMPANY,prueba@individual.es,null
client-10,user-account-client-10,CLI-0010,Acme Company,COMPANY,prueba@individual.es,null
client-11,user-account-client-11,CLI-0011,Acme Company,COMPANY,prueba@individual.es,null
client-12,user-account-client-12,CLI-0012,Acme Company,COMPANY,prueba@individual.es,null
client-13,user-account-client-13,CLI-0013,Acme Company,COMPANY,prueba@individual.es,null
client-14,user-account-client-14,CLI-0014,Acme Company,COMPANY,prueba@individual.es,null
client-15,user-account-client-15,CLI-0015,Acme Company,COMPANY,prueba@individual.es,null
