key,key:userAccount,name,expectedBenefits,email,webPage
sponsor-01,user-account-sponsor-01,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-02,user-account-sponsor-02,S,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-03,user-account-sponsor-03,Sp,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-04,user-account-sponsor-04,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-05,user-account-sponsor-05,krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFti,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-06,user-account-sponsor-06,krqjexNzyKphGtjBFMkbQrWBRzrmJpWpPynuUKGdkNnHRnxQVRYnSyvXdedgQUFjRzLSyNTFtiD,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-07,user-account-sponsor-07,サンプルテキスト,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-08,user-account-sponsor-08,требовать,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-09,user-account-sponsor-09,<script>console.log('javascript')</script>,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-10,user-account-sponsor-10,'or 'A'='A,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-11,user-account-sponsor-11,Sponsor Smith,B,sponsorsmith@gmail.com,https://example.com
sponsor-12,user-account-sponsor-12,Sponsor Smith,Ba,sponsorsmith@gmail.com,https://example.com
sponsor-13,user-account-sponsor-13,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://example.com
sponsor-14,user-account-sponsor-14,Sponsor Smith,knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnX,sponsorsmith@gmail.com,https://example.com
sponsor-15,user-account-sponsor-15,Sponsor Smith,knazYNDAiyABDBCnGWKBpvizvXLyQbaWkXqZifkDhTJLHSEkLkZxcafAZLQgFywhjEbWbDxLJSxnwGNFDbaxjCmcWQYCJqakYnXd,sponsorsmith@gmail.com,https://example.com
sponsor-16,user-account-sponsor-16,Sponsor Smith,サンプルテキスト,sponsorsmith@gmail.com,https://example.com
sponsor-17,user-account-sponsor-17,Sponsor Smith,требовать,sponsorsmith@gmail.com,https://example.com
sponsor-18,user-account-sponsor-18,Sponsor Smith,<script>console.log('javascript')</script>,sponsorsmith@gmail.com,https://example.com
sponsor-19,user-account-sponsor-19,Sponsor Smith,'or 'A'='A,sponsorsmith@gmail.com,https://example.com
sponsor-20,user-account-sponsor-20,Sponsor Smith,Basic benefit,p@gmail.com,https://example.com
sponsor-21,user-account-sponsor-21,Sponsor Smith,Basic benefit,pa@gmail.com,https://example.com
sponsor-22,user-account-sponsor-22,Sponsor Smith,Basic benefit,pabcabmar3@gmail.com,https://example.com
sponsor-23,user-account-sponsor-23,Sponsor Smith,Basic benefit,qxzbMcvPcfLGjpPDfLREzEKJYBPSNcGwnBEHCVFMQkfkYxYDBFmbucYyKaYirNt@gmail.com,https://example.com
sponsor-24,user-account-sponsor-24,Sponsor Smith,Basic benefit,qxzbMcvPcfLGjpPDfLREzEKJYBPSNcGwnBEHCVFMQkfkYxYDBFmbucYyKaYirNtj@gmail.com,https://example.com
sponsor-25,user-account-sponsor-25,Sponsor Smith,Basic benefit,サンプルテキスト@gmail.com,https://example.com
sponsor-26,user-account-sponsor-26,Sponsor Smith,Basic benefit,требовать@gmail.com,https://example.com
sponsor-27,user-account-sponsor-27,Sponsor Smith,Basic benefit,,https://example.com
sponsor-28,user-account-sponsor-28,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.g.com
sponsor-29,user-account-sponsor-29,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.go.com
sponsor-30,user-account-sponsor-30,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.google.com
